AI_not_Intelligent,AI_had_no_pattern,AI_Mirror_or_copy_moves_or_Controlled_by_participant,Did_not_pay_attention_or_Focused_on_own_movement,Vague,Positive,Negative
5588ee6ffdf99b304dd48297 - WhiteD,59c9c8da5535800001a8e434 - WhiteD,5c3848fc19ceb400010c24a0 - WhiteD,5c095f832570ea0001642474 - BlackD,5edc7aed858a159580341afa - BlackD,5d30c0f46cc6bd0020882925 - BlackD,5d380f164803980016b2210d - BlackD
5a1cc4d3fe645f0001ea08f3 - WhiteD,5f5d417b2f9ff7585e4235a5 - WhiteD,5d5e4baff521f100166c5d3a - BlackD,5febf7da0ad48bd3e6b8f696 - BlackD,5fda0b7cfc4cd758823d72ea - WhiteD,5d6dcf910562b9001a25fb70 - BlackD,5ff30503fd725a856780113e - BlackD
5d295e07d3edf9001a801625 - WhiteD,5abc517c1667e40001d80d68 - BlackD,5dc6e47ee5dc414f7d7f2a07 - BlackD,5a0071766e1ea9000124db35 - WhiteD,5f53216409e6d06275ef0545 - BlackD,5ec4a156bc5aac3819ac52f2 - BlackD,5d380f164803980016b2210d - BlackD
5eeaa4da1111b91c83f03a5b - WhiteD,5fac81997dc9eb28a3ad0530 - WhiteD,5dedbe90381d634727e56514 - WhiteD,5c904cd394f7e600192f9eb5 - WhiteD,5fd8996ec3fe9421b8c7aa69 - WhiteD,5f3716c55fa34618ff41e045 - BlackD,5a1cc4d3fe645f0001ea08f3 - WhiteD
5f3c23cbcee6b3a3c4faff76 - WhiteD,5b0e11f3e9270900013be1c0 - WhiteD,5e14bc3d3a98e1000d7fc869 - BlackD,5f1f7eee456c9618772e7b4e - BlackD,5fe2e1b015b59be97297c426 - WhiteD,5f7e6f9c1212c514f9437e3a - BlackD,5b997597caaef400011da16d - WhiteD
5ff468d30d786d649c2385fa - BlackD,5c8961a1d810a700149dcfda - WhiteD,5e6ac797374f5b08b8f13ade - WhiteD,5ff0d0dbc9707d49b6eca6a4 - WhiteD,5f591ac05a843b1172ad1c53 - BlackD,5ff02caef4e2333c393b96fb - BlackD,5e7806f4865a9438545708ce - WhiteD
5aa637861eda41000136d5d2 - BlackD,5fe4d851c274b3293e7299dd - BlackD,5f7ac1a4137f6b00094e78d6 - WhiteD,5dd5db1ded7ea4574c7bc996 - BlackD,5fe30da6a5df2df559abd07b - WhiteD,5ee8fdbb6b0e1325a483f9fa - WhiteD,5f5119dce2b0582f2685ef9a - WhiteD
5d150fbbf3ae250001f66652 - WhiteD,5fdf72f07e067a754dca7137 - WhiteD,5ff3af57d42dc59b1e27e58e - BlackD,5eee73cda03ed60e2dc646cc - WhiteD,5fe3dabac9707d0c7f05c354 - WhiteD,558acd52fdf99b65685f03d9 - BlackD,5ff0b3b4a53c574a97e61378 - BlackD
5e71e83b906448104d052c78 - WhiteD,58cc6e1293dac30001d4abc6 - BlackD,58cec6c08460040001e1ee79 - WhiteD,5fbb526172702f9efce59e2f - BlackD,5fec58d42c2ee68bf22ef66b - WhiteD,58ba380f4cdfd90001778021 - BlackD,
5eba15915da926159040f442 - BlackD,5e76ea9839c4412605dd2070 - WhiteD,5f1bd162b07b733f81459687 - WhiteD,5ff409b1bf9ae4a6eeaa9480 - WhiteD,5e79437d60e3c14ed20cc894 - BlackD,5b86f3cb5470830001b74bbc - BlackD,
5d20189bb34728001a230962 - BlackD,5f500418133110165a1539a9 - BlackD,5f375d51fae4971ed086f809 - WhiteD,5fe2f93acc8c257220dd667d - BlackD,5fe438e3a60b5b1a81d98bf8 - WhiteD,5c2e2fa00b8ad80001aebf07 - BlackD,
5ff11c64b82e46086bf173bb - BlackD,5e88bbc1cd23220008a323a1 - WhiteD,5f62bff03a4958215b85d8bf - BlackD,5fd0e3c2f32781044c4f4fca - WhiteD,5f9b7861ba641d39dfde5fa3 - BlackD,5e2d3e464b8a1a33ef37b241 - BlackD,
5e7a2ccd69a7770604dfb352 - WhiteD,5c1053202b16ba0001c86317 - BlackD,5fa0ba2721865414c2828aeb - BlackD,,5f929fc48b8c2f1d0179fed7 - WhiteD,5f6bbe87bb41e5122e293fe5 - BlackD,
,58211fc787f6b90001f13f90 - WhiteD,5fecf13cd42dc5ec38d92aaa - BlackD,,5e46d70ab1f1c5000d96800d - BlackD,5f9710e93c0e4a07c48e98d9 - BlackD,
,5e068e4401423f075b18e3b7 - WhiteD,5b133bba30d562000155dc2e - WhiteD,,5b15d20c444cef0001cb1153 - BlackD,55bb9ae7fdf99b26d27fda01 - WhiteD,
,5cb80f255a63a200167ead10 - WhiteD,5e9dc4b049a7260ef6d36b82 - BlackD,,,5c1d5c9e0091e40001c83ca0 - WhiteD,
,5ca749ff98b35f0001f7559d - BlackD,5ee2b44f470fa7446a470c8d - BlackD,,,5deaf334789cb321c7f002c2 - WhiteD,
,5dcb5135735496bcb90f7c4c - WhiteD,5f136b2be9d1e835fdb8595c - WhiteD,,,5fe25ae9a4feb0e0b7422656 -WhiteD,
