,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""up"",""left"",""left""]","[3.4029199999999946,4.0843400000003385,4.480245000000195,4.788560000000416,5.204660000000331,5.697590000000218,9.31132000000025,9.662630000000263,12.980885000000399,13.249860000000353,13.629530000000159,14.127365000000282,14.52466000000004]",25,12,captured pig,3,0,3,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
4,"[""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""left"",""left"",""up"",""left"",""left""]","[2.079055000000153,2.127799999999752,2.4737350000000333,2.6658050000000912,2.89429999999993,4.9125450000001365,7.03952500000014,8.250614999999925,8.567054999999982,9.05083999999988,9.316760000000158,9.66370999999981,9.894440000000031,10.145390000000134,10.312065000000075,10.626934999999776,10.655549999999948,10.82774500000005,11.291659999999865,11.492334999999912,11.757779999999912,13.250639999999748,13.935105000000021,14.533840000000055,15.318589999999858,15.829679999999826,16.196710000000166]",0,-13,No points scored,4,0,4,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
5,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down""]","[2.172349999999824,2.568380000000161,3.3062850000001163,3.542410000000018,3.858270000000175,4.281184999999823,5.744575000000168,7.607434999999896,8.167025000000194,8.615084999999908,9.336240000000089,9.645269999999982,9.872460000000046]",25,0,captured pig,5,0,5,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
6,"[""left"",""left"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left""]","[3.3041299999999865,3.7689550000000054,4.469105000000127,5.607234999999946,6.300455000000056,8.725910000000113,9.422230000000127,9.781434999999874,10.881870000000163,13.711874999999964,16.52962000000025,17.260389999999916,17.591275000000223,18.217445000000225,18.508464999999887,18.98586000000023,19.26198000000022,19.899875000000065,21.0136150000003,21.964100000000144,23.606865000000198]",25,4,captured pig,6,0,6,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
8,"[""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down""]","[2.102954999999838,2.4521249999997963,3.4606549999998606,4.115464999999858,4.570394999999735,4.7343550000000505,4.947134999999889,5.170824999999695,5.490620000000035,5.923319999999876,6.079649999999674,6.968229999999949]",0,-32,Timed Out,8,0,8,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
9,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]","[1.2665500000002794,2.0902399999999943,2.512685000000147,2.943645000000288,3.2214050000002317,4.304015000000163,4.456160000000182,4.5892250000001695,4.954665000000205,4.955345000000307,5.677265000000261,5.73877500000026,6.439730000000054,6.874805000000379,7.5491799999999785,7.823804999999993,8.007420000000366,11.43945500000018,13.864360000000033,16.933345000000372,17.291795000000093]",25,-22,captured pig,9,0,9,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
10,"[""down"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up""]","[1.1062449999999444,1.708734999999706,2.2326849999999467,2.550604999999905,2.9505349999999453,3.256819999999607,3.618079999999736,4.0149099999998725,4.4889799999996285,4.490534999999909,4.616719999999987,5.143564999999853,5.189124999999876,5.738434999999754,5.839854999999716,6.54961000000003]",25,-12,captured pig,10,0,10,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
11,"[""right"",""left"",""left"",""right"",""right"",""left"",""left"",""left"",""left""]","[1.4734699999999066,3.026104999999916,3.500329999999849,5.0753749999998945,5.385229999999865,6.8898699999999735,7.081450000000132,7.2303649999998925,7.370640000000094]",25,5,captured pig,11,0,11,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
12,"[""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[1.7654499999998734,2.39354000000003,2.958480000000236,3.0671000000002095,3.315309999999954,4.327020000000175,4.404329999999845,9.442120000000159,11.410890000000109,11.703129999999874,12.85868500000015,13.36153000000013,14.69399999999996]",25,20,captured pig,12,0,12,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
13,"[""right"",""left"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[1.4962450000002718,2.71440500000017,3.475025000000187,4.090995000000021,4.635180000000219,5.060530000000199,5.8044950000003155,6.434900000000198,6.726944999999887,6.804785000000265,13.259199999999964]",25,37,captured pig,13,0,13,0,1,6040864472069947828,,SymbolicViewB,2020.1.3,Linux armv7l,-1268742985066492404,4632893782889856968,60
