,Controls.keys,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate,Controls.rt
3,"[""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up""]",0,-25,No points scored,3,0,3,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[94.51347000012174,98.82841500011273,101.92036000010557,104.36254499992356,106.915840000147,107.32854000013322,107.5782800000161,107.9373149999883,109.32098500011489,111.40880999993533,112.24931999994442,113.66410499997437,114.50980499992147,115.56264999997802,116.12535500014201,116.34459500014782,116.5707050000783,116.89118500007316,117.23358500003815,117.98571999999695,119.95657499996014,120.70723000005819,121.10740500013344,121.39174999995157,121.84190000011586,122.22284499998204,122.48794999998063,122.70414500008337,123.34023500001058,123.85774999996647,124.14364499994554,124.32056999998167,124.9526500001084,125.26271499996074,125.51402999996208,125.71814500004984,125.97375499992631,126.32199999992736,126.79581500007771,127.57765500014648,127.81195500004105,127.98811500007287,128.17136000003666,128.35746000008658,128.55763499997556,129.0335699999705,129.35991999995895,129.63981999992393,129.90376999997534,130.14162999996915,130.4212150000967,130.90876500005834,131.24784000008367,131.5463100001216,132.31227500014938,133.03512000013143,133.5621299999766]"
4,"[""up"",""down"",""down"",""down"",""down"",""right"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""up"",""down""]",25,-8,captured pig,4,0,4,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[0.8206350000109524,1.1661449999082834,1.4677949999459088,1.7167849999386817,2.0101349998731166,2.3112949999049306,2.8054449998307973,3.076274999883026,3.304784999927506,3.5485249999910593,3.933574999915436,4.197625000029802,4.417029999895021,4.614545000018552,4.840589999919757,5.089999999850988,5.3360599998850375,5.588334999978542,5.854429999832064,6.259429999860004,6.5688300000038]"
5,"[""down"",""right"",""left"",""left"",""left"",""left"",""left""]",25,13,captured pig,5,0,5,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[0.7064650000538677,44.679144999943674,46.043964999960735,46.77741000009701,47.114719999954104,47.35276499995962,47.89672999992035]"
6,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right""]",5,9,Exited through black block,6,0,6,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[1.1628999998793006,1.605184999993071,2.0602549999020994,2.38835999998264,2.5842899999115616,2.764560000039637,2.946344999829307,3.1629399999510497,4.440944999922067,5.21178500005044,5.509624999947846,5.773584999842569,5.963824999984354,6.542359999846667,6.808955000014976]"
8,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]",25,27,captured pig,8,0,8,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[4.44330000015907,4.779100000159815,6.078280000016093,6.323040000163019,7.187230000039563,7.37347500002943,7.538780000060797,7.87436500005424,8.949605000205338,9.246075000148267,9.43225000007078,9.769645000109449,10.451160000171512,11.07560500013642,13.155075000133365]"
9,"[""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left""]",25,37,captured pig,9,0,9,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[0.9390999998431653,1.7621450000442564,2.6467399999964982,2.8919199998490512,3.0949899998959154,3.313609999837354,3.5185599999967963,3.6883249999955297,3.873744999989867,4.25169499986805,6.144025000045076,6.370600000023842,6.830480000004172,7.062519999919459,7.502589999930933,8.157369999913499,8.360994999995455,8.560524999862537,8.737144999904558,8.953604999929667,9.2657299998682,9.578084999928251,11.204209999879822,11.673650000011548,11.877014999976382,12.131034999853,13.135414999909699,13.582609999924898,13.95854500005953,14.172209999989718,14.360504999989644,14.608509999932721]"
10,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left""]",25,44,captured pig,10,0,10,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[1.029585000127554,1.5557250001002103,2.1202050000429153,2.2863300000317395,2.4366750000044703,2.6053450000472367,2.7326299999840558,2.885020000161603,3.120890000136569,3.2627550000324845,3.4365650000981987,3.608310000039637,4.313384999986738,4.87150500016287,5.447730000130832,5.716620000079274,6.049280000152066,6.299960000207648,6.452445000177249,6.637190000154078,6.7813050001859665,6.966660000151023,7.165940000209957,7.501275000162423,8.678655000170693,8.991830000188202,9.687455000123009,13.347430000081658,15.590350000187755,16.586860000155866,16.870600000023842,17.0939650000073,17.292125000152737,17.46227000001818,17.636565000051633,17.823585000121966,18.033575000008568,18.20899000018835,18.394570000004023,18.799875000026077,19.188205000013113,19.447060000151396]"
11,"[""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down""]",25,55,captured pig,11,0,11,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[1.0163050000555813,1.3306050000246614,2.0596950000617653,2.331419999944046,2.530015000142157,2.9590450001414865,3.171580000082031,3.3470700001344085,3.611015000147745,4.249455000041053,4.477710000006482,4.647305000107735,4.890015000011772,5.187320000026375,5.394474999979138,6.452440000139177,7.621985000092536,7.810724999988452,7.986135000130162,8.576920000137761,9.256000000052154,10.138775000115857,10.298965000081807,10.47120500006713,10.6425749999471,10.79680999997072,11.034879999933764,11.410535000031814]"
12,"[""left"",""left"",""left"",""left"",""left"",""left""]",25,77,captured pig,12,0,12,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[1.309845000039786,1.6194550001528114,1.8928150001447648,2.1324700000695884,2.354130000108853,2.543820000020787]"
13,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right""]",0,52,No points scored,13,0,13,0,1,-486874690933597754,,SymbolicViewB,2020.1.3,Win32,-486874690933597754,-892721400312877009,60,"[0.7222100000362843,1.2128550000488758,1.6191199999302626,1.9065300000365824,2.108185000019148,2.2853800000157207,2.6580349998548627,3.377614999888465,3.576799999922514,3.7484299999196082,3.900059999898076,4.076965000014752,4.257019999902695,5.994279999984428,6.766404999885708,7.108414999907836,7.2340649999678135,7.410089999902993,7.608669999986887,8.134829999879003,8.834989999886602,9.722724999999627,10.103124999906868,10.436645000008866,10.703010000055656,10.93659000005573,11.198545000050217,11.605560000054538,11.897265000035986,12.114219999872148,12.318369999993593,12.592359999893233,12.818734999978915,13.032094999914989,13.202120000030845,14.211949999909848,16.108215000014752,16.409119999967515,16.691094999900088,17.208559999940917,17.405054999981076,17.610764999873936,17.81885499996133,18.016014999942854,18.21096000005491,18.411169999977574,18.59544499986805,18.76759499986656,18.970964999869466,20.533529999898747,21.27457999996841,21.531470000045374,21.741049999836832,21.953479999909177,22.77019999991171,23.059265000047162,23.298879999900237,26.045614999951795,26.802015000022948,27.64310500002466]"
