,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""left"",""left"",""up"",""up"",""right""]","[2.6210000000000093,2.7249999999999943,3.408999999999992,3.4129999999999825,4.085999999999984,4.490000000000009,4.609000000000009,5.534999999999997,5.881,6.481999999999999,7.050999999999988,7.888000000000005,8.134999999999991,8.37899999999999,8.620000000000005,8.805000000000007,9.032999999999987,9.745000000000005,9.935000000000002,10.349999999999994,11.228000000000009,11.587999999999994,12.667000000000002,13.158999999999992,13.329999999999984,19.49199999999999,22.869,24.453000000000003,25.113,25.992999999999995,26.937999999999988,31.494]",0,-25,No points scored,3,0,3,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
4,"[""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down""]","[2.2250000000000227,4.059000000000026,4.305000000000007,4.912000000000006,5.228000000000009,5.754000000000019,6.032000000000011,6.2830000000000155,6.531000000000006,6.660000000000025]",25,-7,captured pig,4,0,4,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
5,"[""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[2.2009999999999934,2.7169999999999845,3.2280000000000086,4.539999999999992,5.114000000000004,5.965000000000003,6.513000000000005,6.796999999999997,7.292000000000002,9.277999999999992,9.918999999999983,11.227000000000004,11.228999999999985,12.451999999999998,13.022999999999996,13.024000000000001,13.375,13.76000000000002,14.794000000000011,15.325000000000017,15.385999999999996,15.922999999999973,20.395999999999987,20.92100000000002,20.921999999999997,21.587999999999994,21.58899999999997,22.436999999999983,22.438000000000017,22.438999999999993,22.43999999999997,22.841999999999985,23.18999999999994,23.478999999999985,24.48399999999998,27.11899999999997,27.154999999999973,27.68399999999997,27.714999999999975,28.075999999999965,28.44599999999997,28.448999999999955,28.732999999999947,28.948999999999955,29.27199999999999,29.41599999999994,29.684999999999945,29.95399999999995,30.533999999999992,30.65799999999996,30.95599999999996,31.390999999999963,31.541999999999973,31.81499999999994,32.10299999999995,38.660999999999945,38.66199999999998,38.66399999999999]",0,-32,No points scored,5,0,5,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
6,"[""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right""]","[2.3209999999999695,3.065999999999974,3.5949999999999704,4.016999999999996,4.403999999999996,4.726999999999975,7.146999999999991,7.312000000000012,7.757000000000005,7.837999999999965,8.456000000000017,13.563999999999965,14.367000000000019,14.370999999999981,15.22399999999999,15.404999999999973,15.661000000000001,16.264999999999986,16.26600000000002,16.61899999999997,16.911,17.735000000000014,18.552999999999997,18.553999999999974,19.091000000000008,19.093000000000018,19.257000000000005]",5,-42,Exited through black block,6,0,6,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
8,"[""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.7689999999999486,2.2449999999999477,2.3929999999999723,3.6149999999999523,3.901999999999987,4.467999999999961,5.021999999999991,65.94899999999996,65.95099999999996,65.95299999999997,65.95399999999995,65.95499999999998,65.98599999999999,65.98699999999997,65.988,66.08599999999996,66.08599999999996,66.08599999999996,66.08799999999997,66.08799999999997,66.089,66.09799999999996,66.09899999999999,66.09999999999997,66.09999999999997,66.101,66.101,66.10199999999998,66.10299999999995,66.10399999999998,66.10399999999998,66.10399999999998,66.10399999999998,66.11099999999999,66.13599999999997,66.13599999999997,66.137,66.13799999999998,66.13799999999998,66.14399999999995,66.16699999999997,66.16799999999995,66.16799999999995,66.16799999999995,66.16899999999998,66.16899999999998,66.16999999999996,66.17999999999995,66.18099999999998,66.18099999999998,66.18299999999999,66.18299999999999,66.315,66.31699999999995,66.31699999999995,66.31699999999995,66.31799999999998,67.28399999999999,67.28499999999997,67.28699999999998,67.28699999999998,67.28799999999995,67.29299999999995,67.29699999999997,67.298,67.29899999999998,67.29899999999998,67.29999999999995,67.30199999999996,67.30199999999996,67.303,67.303,67.30399999999997,67.30399999999997,67.334,67.33499999999998,67.33599999999996,67.33599999999996,67.33799999999997,67.36899999999997,67.36999999999995,67.37099999999998,67.38,67.38099999999997,67.38199999999995,67.38199999999995,67.38299999999998,67.38299999999998,67.38499999999999,67.38499999999999,67.38599999999997,67.38599999999997,67.387,67.387,67.387,67.38899999999995,67.41199999999998,67.41199999999998,67.41299999999995,67.41499999999996,67.416,67.416,67.41699999999997,67.41799999999995,67.41899999999998,67.41899999999998,67.41999999999996,67.42099999999999,67.44999999999999]",25,-27,captured pig,8,0,8,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
9,"[""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""down""]","[1.336999999999989,1.8279999999999745,2.507000000000005,3.623999999999967,4.0120000000000005,4.09499999999997,4.382000000000005,4.645999999999958,5.593999999999994,5.871999999999957]",25,-11,captured pig,9,0,9,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
10,"[""right"",""right"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down""]","[1.5830000000000268,2.8210000000000264,3.2450000000000045,3.511000000000024,4.117000000000019,4.509999999999991,65.26600000000002,65.269,73.207,73.209,73.21000000000004,73.41399999999999,75.90899999999999,75.911,77.22500000000002,77.51100000000002,77.887,78.63499999999999,79.18400000000003,79.73500000000001,80.00600000000003,80.55200000000002,80.55200000000002,86.29000000000002,86.596,87.13,87.84100000000001,88.12600000000003,88.37100000000004,88.73000000000002,88.77600000000001,89.08100000000002]",0,-36,No points scored,10,0,10,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
11,"[""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""down"",""down"",""down"",""left""]","[1.700999999999965,2.5539999999999736,69.12400000000008,69.12600000000003,69.137,69.14100000000002,69.14400000000006,69.20100000000008,70.37100000000004,70.95100000000008,73.32600000000008,73.77600000000001,74.74400000000009,75.094,75.406,75.91900000000004]",25,-25,captured pig,11,0,11,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
12,"[""right"",""right"",""down"",""down"",""down"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left""]","[1.4650000000000318,1.8450000000000273,2.475999999999999,3.2340000000000373,3.8250000000000455,4.475000000000023,69.95600000000002,69.95800000000008,69.95800000000008,69.96000000000004,69.9620000000001,69.96300000000008,69.96400000000006,69.96600000000001,69.9670000000001,70.1110000000001,70.11200000000008,70.11400000000003,70.1590000000001,70.16100000000006,70.16200000000003,71.21400000000006,72.32900000000006,72.65300000000002,72.9720000000001,76.71100000000001,77.23200000000008,77.93600000000004,78.24700000000007,80.28100000000006,81.03800000000001,81.0390000000001,81.33300000000008,86.59500000000003,87.2700000000001,89.58500000000004,90.8610000000001,91.51700000000005]",0,-50,No points scored,12,0,12,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
13,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left""]","[1.7250000000000227,2.7210000000000036,3.629000000000019,3.875,4.026000000000067,4.1860000000000355,4.460000000000036,4.6580000000000155,4.9950000000000045,6.637000000000057,6.819000000000074,7.0890000000000555,7.343000000000075,7.427000000000021]",25,-35,captured pig,13,0,13,0,1,2272570867363727145,,SymbolicViewB,2020.1.3,Win32,2272570867363727145,1045014128859106538,60
